Price,Year,Mileage,City,State,Vin,Make,Model,Year
11990,60000,39301,Kansas City, MO,KMHDH6AH3EU026508,Hyundai,Elantra,2014
14994,30000,5857,San Antonio, TX,KMHD35LH7HU370157,Hyundai,Elantra,2017
11995,60000,35238,Broken Arrow, OK,KMHDH6AHXEU024853,Hyundai,Elantra,2014
13825,60000,15616,Philadelphia, PA,KMHDH6AH0EU028765,Hyundai,Elantra,2014
9795,100000,75317,West Palm Beach, FL,KMHDC8AE8AU069638,Hyundai,Elantra,2010
9965,70000,53709,Fredericksburg, VA,KMHDH6AEXDU006938,Hyundai,Elantra,2013
9998,70000,49158,Kirkland, WA,KMHDH6AE9DU004274,Hyundai,Elantra,2013
9915,70000,68049,Chesapeake, VA,KMHDH6AEXDU011721,Hyundai,Elantra,2013
10000,70000,55385,Lockhart, TX,KMHDH6AE6DU004765,Hyundai,Elantra,2013
9895,100000,74857,Miamisburg, OH,KMHDC8AE2AU066041,Hyundai,Elantra,2010
10599,40000,25776,West Palm Beach, FL,KMHD35LH4GU269642,Hyundai,Elantra,2016
11403,70000,32000,Melbourne, FL,KMHDH6AE3DU003590,Hyundai,Elantra,2013
9999,40000,34441,Salt Lake City, UT,KMHD35LH4GU325921,Hyundai,Elantra,2016
9495,100000,81331,Jacksonville, FL,KMHDC8AE4AU069121,Hyundai,Elantra,2010
11700,60000,30748,Framingham, MA,KMHDH6AH8EU026505,Hyundai,Elantra,2014
11995,30000,19485,Westampton, NJ,KMHD35LH6HU350160,Hyundai,Elantra,2017
7799,60000,94669,Matthews, NC,KMHDH6AHXEU029020,Hyundai,Elantra,2014
8000,70000,71100,Towanda, PA,KMHDH6AE9DU004744,Hyundai,Elantra,2013
12912,70000,14569,Chillicothe, OH,KMHDH6AE8DU022507,Hyundai,Elantra,2013
9998,70000,62136,Jacksonville, FL,KMHDH6AE6DU006399,Hyundai,Elantra,2013
9900,70000,66239,York, PA,KMHDH6AE0DU023568,Hyundai,Elantra,2013
11500,60000,34353,Charlotte, NC,KMHDH6AH9EU025413,Hyundai,Elantra,2014
11997,60000,38355,North Olmsted, OH,KMHDH6AH4EU024508,Hyundai,Elantra,2014
9500,70000,50084,Midlothian, VA,KMHDH6AEXDU006325,Hyundai,Elantra,2013
10995,70000,45476,Little Rock, AR,KMHDH6AE3DU004559,Hyundai,Elantra,2013
8846,70000,66362,Nanuet, NY,KMHDH6AE0DU016507,Hyundai,Elantra,2013
12614,70000,20005,Vienna, VA,KMHDH6AE6DU000909,Hyundai,Elantra,2013
12800,40000,11215,Miami, FL,KMHD35LH7GU332328,Hyundai,Elantra,2016
11980,70000,21279,Mundelein, IL,KMHDH6AE7DU014740,Hyundai,Elantra,2013
12989,50000,19385,Chantilly, VA,KMHD35LH7FU238657,Hyundai,Elantra,2015
7990,70000,69595,Newport, RI,KMHDH6AE2DU002740,Hyundai,Elantra,2013
11999,30000,22187,Chicago, IL,KMHD35LH4HU349878,Hyundai,Elantra,2017
11287,60000,57225,Lafayette, IN,KMHDH6AH6EU024526,Hyundai,Elantra,2014
12000,60000,30417,Louisville, KY,KMHDH6AH5EU027983,Hyundai,Elantra,2014
8990,70000,58196,Ansonia, CT,KMHDH6AE3DU003962,Hyundai,Elantra,2013
12499,40000,14281,Hickory, NC,KMHD35LH1GU283921,Hyundai,Elantra,2016
12199,30000,20321,Chicago, IL,KMHD35LHXHU350016,Hyundai,Elantra,2017
9555,70000,68681,East Providence, RI,KMHDH6AE1DU015110,Hyundai,Elantra,2013
13932,30000,21083,Sandy, UT,KMHD35LH4HU352893,Hyundai,Elantra,2017
8690,70000,72240,Auburn, WA,KMHDH6AE5DU014669,Hyundai,Elantra,2013
8987,60000,33972,Fort Wayne, IN,KMHD35LH8EU165796,Hyundai,Elantra,2014
13206,40000,12320,Brook Park, OH,KMHD35LH1GU317632,Hyundai,Elantra,2016
12000,60000,16071,Cedar Rapids, IA,KMHD35LH3EU202396,Hyundai,Elantra,2014
14499,60000,11703,HENDERSONVILLE, TN,KMHDH6AH9EU028179,Hyundai,Elantra,2014
9695,70000,60589,Springfield, VA,KMHDH6AE6DU004118,Hyundai,Elantra,2013
13900,30000,3295,Hollywood, FL,KMHD35LH8HU374881,Hyundai,Elantra,2017
14499,60000,11812,Freehold, NJ,KMHDH6AH0EU027759,Hyundai,Elantra,2014
9999,70000,47605,Sacramento, CA,KMHDH6AE8DU011006,Hyundai,Elantra,2013
13525,30000,5805,North Salt Lake, UT,KMHD35LH2HU380711,Hyundai,Elantra,2017
11495,40000,21718,Pompano Beach, FL,KMHD35LH7GU253077,Hyundai,Elantra,2016
10995,90000,77219,Houston, TX,KMHDB8AE9BU106717,Hyundai,Elantra,2011
12800,30000,37186,Tulsa, OK,KMHD35LH4HU348827,Hyundai,Elantra,2017
10990,60000,44760,Dallas, TX,KMHDH6AH7EU027435,Hyundai,Elantra,2014
13888,30000,1920,Long Island City, NY,KMHD35LH3HU376859,Hyundai,Elantra,2017
12800,60000,23148,Phoenix, AZ,KMHDH6AH1EU024272,Hyundai,Elantra,2014
12997,40000,13959,Wentzville, MO,KMHD35LH8GU333990,Hyundai,Elantra,2016
